host_latin,host_english,host_family
Talpa davidiana,Pere David's Mole,Talpidae
Talpa europaea,European Mole,Talpidae
Talpa levantis,Levant Mole,Talpidae
Talpa martinorum,Martinos' Mole,Talpidae
Talpa occidentalis,Iberian Mole,Talpidae
Talpa ognevi,Ognev's Mole,Talpidae
Talpa romana,Roman Mole,Talpidae
Talpa stankovici,Balkan Mole,Talpidae
Talpa talyschensis,Talysch Mole,Talpidae
Dymecodon pilirostris,True's Shrew Mole,Talpidae
Urotrichus talpoides,Japanese Shrew Mole,Talpidae
Uropsilus aequodonenia,Equivalent-teeth Shrew Mole,Talpidae
Uropsilus andersoni,Anderson's Shrew Mole,Talpidae
Uropsilus atronates,Black-backed Shrew Mole,Talpidae
Uropsilus gracilis,Gracile Shrew Mole,Talpidae
Uropsilus investigator,Inquisitive Shrew Mole,Talpidae
Uropsilus nivatus,Snow Mountain Shrew Mole,Talpidae
Uropsilus soricipes,Chinese Shrew Mole,Talpidae
Crocidura makeda,Makeda White-toothed Shrew,Soricidae
Crocidura similiturba,Medabo White-toothed Shrew,Soricidae
Alpiscaptulus medogensis,Medog Mole,Talpidae
Chimarrogale varennei,Vietnamese Water Shrew,Soricidae
Uropsilus dabieshanensis,Dabie Mountains Shrew Mole,Talpidae
Crocidura narcondamica,Narcondam White-toothed Shrew,Soricidae
Scapanus occultus,Southern Broad-footed Mole,Talpidae
Crocidura microelongata,Small Elongated White-toothed Shrew,Soricidae
Crocidura quasielongata,Southern Elongated White-toothed Shrew,Soricidae
Crocidura pseudorhoditis,North Peninsula White-toothed Shrew,Soricidae
Crocidura australis,Southwest Peninsula White-toothed Shrew,Soricidae
Crocidura pallida,Pallid-footed White-toothed Shrew,Soricidae
Crocidura baletei,Balete's White-toothed Shrew,Soricidae
Crocidura tenebrosa,Dark White-toothed Shrew,Soricidae
Crocidura mediocris,Central Sulawesi White-toothed Shrew,Soricidae
Crocidura parva,Tiny Sulawesi White-toothed Shrew,Soricidae
Crocidura brevicauda,Short-tailed White-toothed Shrew,Soricidae
Crocidura caudicrassa,Thick-tailed Sulawesi White-toothed Shrew,Soricidae
Crocidura normalis,Typical Sulawesi White-toothed Shrew,Soricidae
Crocidura ordinaria,West Sulawesi White-toothed Shrew,Soricidae
Crocidura solita,West-central Sulawesi White-toothed Shrew,Soricidae
Chodsigoa dabieshanensis,Dabieshan Brown-toothed Shrew,Soricidae
Mogera hainana,Hainan Mole,Talpidae
Nectogale sikhimensis,Sikkim Water Shrew,Soricidae
Sorex gomphus,Yunnan Striped Shrew,Soricidae
Sorex nepalensis,Nepalese Striped Shrew,Soricidae
Sorex wardi,Ward's Striped Shrew,Soricidae
Podogymnura intermedia,Eastern Mindanao Gymnure,Erinaceidae
Podogymnura minima,Kitanglad Gymnure,Erinaceidae
Cryptotis woodmani,El Triunfo Small-eared Shrew,Soricidae
Mesechinus orientalis,Eastern Forest Hedgehog,Erinaceidae
Hylomys dorsalis,Bornean Short-tailed Gymnure,Erinaceidae
Hylomys macarong,Dalat Gymnure,Erinaceidae
Hylomys maxi,Max's Short-tailed Gymnure,Erinaceidae
Hylomys peguensis,Northern Short-tailed Gymnure,Erinaceidae
Hylomys vorax,Leuser Gymnure,Erinaceidae
Crocidura bloyeti,Bloyet's White-toothed Shrew,Soricidae
Parablarinella latimaxillata,Anhui Short-tailed Shrew,Soricidae
Cryptotis andinus,Southern Colombian Small-eared Shrew,Soricidae
Cryptotis huttereri,Rainer's Small-eared Shrew,Soricidae
Soriculus medogensis,Medog Large-clawed Shrew,Soricidae
Soriculus minor,Lesser Large-clawed Shrew,Soricidae
Soriculus nivatus,Snow Mountain Large-clawed Shrew,Soricidae
Talpa hakkariensis,Hakkari Mole,Talpidae
Talpa streeti,Street's Mole,Talpidae
Talpa transcaucasica,Transcaucasian Mole,Talpidae
Uropsilus fansipanensis,Fansipan Shrew Mole,Talpidae
Uropsilus huanggangensis,Huangang Shrew Mole,Talpidae
Nesophontes longirostris,Slender Cuban Nesophontes,Nesophontidae
Crocidura aequicauda,Mount Korinchi White-toothed Shrew,Soricidae
Crocidura balingka,Balingka White-toothed Shrew,Soricidae
Crocidura barapi,Barapi White-toothed Shrew,Soricidae
Crocidura dewi,Dewi White-toothed Shrew,Soricidae
Soriculus beibengensis,Beibeng Large-clawed Shrew,Soricidae
Neohylomys vietnamensis,Vietnam Gymnure,Erinaceidae
Notiosorex carrawayae,Carraway's Gray Shrew,Soricidae
Crocidura binco,short-tailed Salonga White-toothed Shrew,Soricidae
Crocidura salonga,Long-tailed Salonga White-toothed Shrew,Soricidae
Crocidura medogensis,Medog White-toothed Shrew,Soricidae
Crocidura zhadaensis,Zanda White-toothed Shrew,Soricidae
Crocidura iculisma,Iberian White-toothed Shrew,Soricidae
Crocidura cypria,Cyprus White-toothed Shrew,Soricidae
Crocidura fimbriata,South European White-toothed Shrew,Soricidae
Crocidura darvishi,Darvish's White-toothed Shrew,Soricidae
Crocidura persica,Persian White-toothed Shrew,Soricidae
Scaptonyx affinis,Southern Long-tailed Mole,Talpidae
Scaptonyx wangi,Wang's Long-tailed Mole,Talpidae
Uropsilus funiushanensis,Funiushan Shrew Mole,Talpidae
Cryptotis albujai,Albuja's Short-tailed Shrew,Soricidae
Cryptotis floridanus,Florida Least Shrew,Soricidae
Nagasorex albidens,Nagaland Shrew,Soricidae
Sorex nivicola,Gansu Striped Shrew,Soricidae
Crocidura stanleyi,Stanley's White-toothed Shrew,Soricidae
Euroscaptor darwini,Darwin's Mole,Talpidae
Soriculus dexingensis,Dexing Large-clawed Shrew,Soricidae
Diplomesodon sonnerati,Sonnerat's Shrew,Soricidae
Crocidura pediculus,Little-footed White-toothed Shrew,Soricidae
Uropsilus cinereonates,Gray-rumped Shrew Mole,Talpidae
Uropsilus leptocranium,Slender Skull Shrew Mole,Talpidae
Uropsilus maximus,Large Shrew Mole,Talpidae
Uropsilus ningshanensis,Ningshan Shrew Mole,Talpidae
Uropsilus parvoniger,Black Shrew Mole,Talpidae
Uropsilus wulingshanensis,Wuling Mountains Shrew Mole,Talpidae
